대분류,품명,규격,단위,수량,자재비.단가,노무비.단가,경비.단가,연도,현장,협력사,계약번호,계약여부
F.D, F.D (STL) ,500*300, EA ,2 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,500*400, EA ,1 ,24000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,550*400, EA ,1 ,26400 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,700*350, EA ,1 ,29400 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,700*400, EA ,2 ,33600 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,700*450, EA ,1 ,37800 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,750*300, EA ,2 ,27000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,800*450, EA ,2 ,43200 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
F.D, F.D (STL) ,900*400, EA ,1 ,43200 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1000*600, EA ,1 ,72000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1300*600, EA ,1 ,93600 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1350*350, EA ,1 ,56700 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1400*400, EA ,1 ,67200 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1800*1000, EA ,5 ,216000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1900*1000, EA ,6 ,228000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2200*900, EA ,2 ,237600 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2500*1000, EA ,12 ,300000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2650*500, EA ,1 ,159000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2700*1000, EA ,4 ,324000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2900*900, EA ,1 ,313200 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,300*150, EA ,10 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,500*300, EA ,1 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,550*400, EA ,4 ,26400 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,1000*500, EA ,2 ,60000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,1200*500, EA ,1 ,72000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,1350*500, EA ,1 ,81000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,1400*450, EA ,1 ,75600 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,1550*450, EA ,1 ,83700 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,200*100, EA ,10 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,250*250, EA ,4 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,300*200, EA ,3 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,300*250, EA ,4 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,300*300, EA ,9 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,350*200, EA ,1 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,350*250, EA ,3 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,350*300, EA ,2 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,350*350, EA ,3 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,400*200, EA ,5 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,400*300, EA ,2 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,400*350, EA ,5 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,450*150, EA ,2 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,450*300, EA ,1 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,450*350, EA ,1 ,20000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,450*400, EA ,1 ,21600 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,500*400, EA ,1 ,24000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,500*450, EA ,1 ,27000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,550*400, EA ,7 ,26400 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,600*350, EA ,1 ,25200 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,600*400, EA ,1 ,28800 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,600*500, EA ,1 ,36000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,700*250, EA ,1 ,21000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,700*350, EA ,2 ,29400 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,750*300, EA ,1 ,27000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,750*500, EA ,3 ,45000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,750*550, EA ,1 ,49500 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,800*400, EA ,1 ,38400 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,800*450, EA ,2 ,43200 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,900*500, EA ,1 ,54000 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,950*400, EA ,1 ,45600 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
V.D, V.D (STL) ,950*450, EA ,3 ,51300 ,,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,2700*1800*2700, EA ,1 ,3402000 ,300000 ,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,1300*1000*1000, EA ,1 ,720000 ,300000 ,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,1300*1000*1000, EA ,1 ,720000 ,300000 ,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,2200*2000*2900, EA ,1 ,3316000 ,300000 ,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
보통인부, 노무비 ,보통인부, 인 ,50 ,,150000 ,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
덕트공, 노무비 ,덕트공, 인 ,200 ,,170000 ,,2018 ,삼성SDI,그린빌더스,2018-5-0200,비계약
덕트, 각형덕트제작및설치 ,0.5T, M2 ,159 ,10750 ,25600 ,1200 ,2018 ,삼성SDI,제이오,2018-5-0200,비계약
덕트, 각형덕트제작및설치 ,0.6T, M2 ,468 ,12870 ,25600 ,1200 ,2018 ,삼성SDI,제이오,2018-5-0200,비계약
덕트, 각형덕트제작및설치 ,0.8T, M2 ,475 ,15950 ,27000 ,1200 ,2018 ,삼성SDI,제이오,2018-5-0200,비계약
덕트, 각형덕트제작및설치 ,1.0T, M2 ,525 ,17200 ,28700 ,1200 ,2018 ,삼성SDI,제이오,2018-5-0200,비계약
덕트, 각형덕트제작및설치 ,1.2T, M2 ,44 ,18580 ,29500 ,1200 ,2018 ,삼성SDI,제이오,2018-5-0200,비계약
덕트_보온, 각형덕트보온(고무발포) ,13T 고무발포, M2 ,515 ,9500 ,9540 ,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
캔버스, 캔버스제작설치 ,1.2T, M2 ,13 ,18000 ,23620 ,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
DIFFUSER, 디퓨저 ,150A, EA ,1 ,13000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
DIFFUSER, 디퓨저 ,200A, EA ,11 ,13000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
후렉시블호스, 공조덕트(플렉시블) ,보온A150, M ,1 ,3800 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
후렉시블호스, 공조덕트(플렉시블) ,보온A200, M ,16 ,4200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
후렉시블호스, 공조덕트(플렉시블) ,보온A300, M ,306 ,6720 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
점검구, 점검구 ,200*200, EA ,16 ,10000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
점검구, 점검구 ,300*200, EA ,3 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
STS_BAND, 스텐밴드 ,150A, EA ,2 ,460 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
STS_BAND, 스텐밴드 ,200A, EA ,22 ,500 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
STS_BAND, 스텐밴드 ,300A, EA ,408 ,570 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
동망, 동망 ,#24, M2 ,2 ,65000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,1000*500, EA ,2 ,60000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,2200*1000, EA ,1 ,264000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,350*300, EA ,2 ,12600 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,400*350, EA ,1 ,16800 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,500*300, EA ,2 ,18000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,500*400, EA ,1 ,24000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,550*400, EA ,1 ,26400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,700*350, EA ,1 ,29400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,700*400, EA ,2 ,33600 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,700*450, EA ,1 ,37800 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,750*300, EA ,2 ,27000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,800*450, EA ,2 ,43200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
F.D, F.D (STL) ,900*400, EA ,1 ,43200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1000*600, EA ,1 ,84000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1300*600, EA ,1 ,109200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1350*350, EA ,1 ,66150 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1400*400, EA ,1 ,78400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1800*1000, EA ,5 ,252000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,1900*1000, EA ,6 ,266000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2200*900, EA ,2 ,277200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2500*1000, EA ,12 ,350000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2650*500, EA ,1 ,185500 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2700*1000, EA ,4 ,378000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,2900*900, EA ,1 ,365400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,300*150, EA ,10 ,14000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,500*300, EA ,1 ,21000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
GRILLE, GRILLE (STL) ,550*400, EA ,4 ,30800 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,1000*500, EA ,2 ,60000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,1200*500, EA ,1 ,72000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,1350*500, EA ,1 ,81000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,1400*450, EA ,1 ,75600 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,1550*450, EA ,1 ,83700 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,200*100, EA ,10 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,250*250, EA ,4 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,300*200, EA ,3 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,300*250, EA ,4 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,300*300, EA ,9 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,350*200, EA ,1 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,350*250, EA ,3 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,350*300, EA ,2 ,12600 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,350*350, EA ,3 ,14700 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,400*200, EA ,5 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,400*300, EA ,2 ,14400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,400*350, EA ,5 ,16800 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,450*150, EA ,2 ,12000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,450*300, EA ,1 ,16200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,450*350, EA ,1 ,18900 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,450*400, EA ,1 ,21600 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,500*400, EA ,1 ,24000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,500*450, EA ,1 ,27000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,550*400, EA ,7 ,26400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,600*350, EA ,1 ,25200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,600*400, EA ,1 ,28800 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,600*500, EA ,1 ,36000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,700*250, EA ,1 ,21000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,700*350, EA ,2 ,29400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,750*300, EA ,1 ,27000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,750*500, EA ,3 ,45000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,750*550, EA ,1 ,49500 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,800*400, EA ,1 ,38400 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,800*450, EA ,2 ,43200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,900*500, EA ,1 ,54000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,950*400, EA ,1 ,45600 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
V.D, V.D (STL) ,950*450, EA ,3 ,51300 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,2700*1800*2700, EA ,1 ,2041200 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,1300*1000*1000, EA ,1 ,432000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,1300*1000*1000, EA ,1 ,432000 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
CHAMBER, SOUND CHAMBER ,2200*2000*2900, EA ,1 ,1989600 ,,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
보통인부, 노무비 ,보통인부, 인 ,60 ,,120000 ,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
덕트공, 노무비 ,덕트공, 인 ,439 ,,150000 ,,2018 ,삼성SDI,제이오,2018-5-0200,비계약
덕트,Duct 제작설치,0.5T,M2,864 ,14551 ,24000 ,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
덕트,Duct 제작설치,0.6T,M2,1687 ,15737 ,25000 ,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
덕트,Duct 제작설치,0.8T,M2,258 ,18108 ,26000 ,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
캔버스,Canvas Connector,1.2T,M2,81 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
DIFFUSER,사각 디퓨져,400A,EA,10 ,68000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
DIFFUSER,사각 디퓨져,300A,EA,4 ,26000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
DIFFUSER,사각 디퓨져,200A,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
DIFFUSER,사각 디퓨져,125A,EA,9 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
후렉시블호스,플렉시블덕트호스,비보온A400,M,10 ,12000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
후렉시블호스,플렉시블덕트호스,비보온A300,M,73 ,9000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
후렉시블호스,플렉시블덕트호스,비보온A200,M,2 ,6000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
후렉시블호스,플렉시블덕트호스,비보온A125,M,9 ,4500 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
STS_BAND,STS BAND,400A,EA,20 ,1400 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
STS_BAND,STS BAND,300A,EA,146 ,1300 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
STS_BAND,STS BAND,200A,EA,4 ,1200 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
STS_BAND,STS BAND,125A,EA,18 ,1100 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,450*250,EA,1 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,400*450,EA,4 ,21600 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,400*300,EA,4 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,400*250,EA,6 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,400*200,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,350*750,EA,2 ,31500 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,350*650,EA,2 ,27300 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,350*300,EA,10 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,350*200,EA,1 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,300*450,EA,3 ,16200 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,300*300,EA,8 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,300*200,EA,13 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,300*150,EA,10 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,250*500,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,200*200,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
REGISTER,레지스터,200*100,EA,3 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,1000*600,EA,2 ,72000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,800*600,EA,1 ,57600 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,700*500,EA,2 ,42000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,700*450,EA,1 ,37800 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,700*400,EA,3 ,33600 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,700*300,EA,2 ,25200 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,650*350,EA,2 ,27300 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,600*350,EA,3 ,25200 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,600*300,EA,2 ,21600 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,500*350,EA,1 ,21000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,500*300,EA,6 ,18000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,450*300,EA,2 ,16200 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,450*250,EA,4 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,400*300,EA,9 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,400*250,EA,9 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,400*200,EA,7 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,350*250,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,350*200,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,300*250,EA,4 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,300*200,EA,17 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,300*150,EA,6 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,250*200,EA,1 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,250*150,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,200*300,EA,2 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,200*200,EA,5 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,200*150,EA,17 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
V.D,Volume Damper,150*150,EA,3 ,15000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
M.D,Motorized Damper,1000*600,EA,2 ,152000 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
M.D,Motorized Damper,800*600,EA,1 ,137600 ,,,2018 ,KD-GAS PROJECT,그린빌더스,2018-5-0854,비계약
